LINE-G	ROUND	and LINE	#NOME?	NE VOLTA	GES BY BUS	& NODE							
													
Bus	Node	VLN (k	V)	Angle	pu	Base kV	Node-Node	VLL (k	V)	Angle			pu
											V_inicial	V_1_Cap	V_2_Cap
0 ...	1	73.086	/_	0.0	0.99991	12.660	01/fev	12.659	/_	30.0	0,9996	0,99991	0,99991
-	2	73.086	/_	-120.0	0.99991	12.660	02/mar	12.659	/_	-90.0	0,9996	0,99991	0,99991
-	3	73.086	/_	120.0	0.99991	12.660	03/jan	12.659	/_	150.0	0,9996	0,99991	0,99991
5 ...	1	72.682	/_	-0.4	0.99439	12.660	01/fev	12.589	/_	29.6	0,98993	0,99426	0,99439
-	2	72.682	/_	-120.4	0.99439	12.660	02/mar	12.589	/_	-90.4	0,98993	0,99426	0,99439
-	3	72.682	/_	119.6	0.99439	12.660	03/jan	12.589	/_	149.6	0,98993	0,99426	0,99439
5BT .	1	0.12624	/_	-30.4	0.99388	0.220	01/fev	0.21865	/_	-0.4	0,98942	0,99375	0,99388
-	2	0.12624	/_	-150.4	0.99388	0.220	02/mar	0.21865	/_	-120.4	0,98942	0,99375	0,99388
-	3	0.12624	/_	89.6	0.99388	0.220	03/jan	0.21865	/_	119.6	0,98942	0,99375	0,99388
6 ...	1	7.229	/_	-0.7	0.98902	12.660	01/fev	12.521	/_	29.3	0,98089	0,98876	0,98902
-	2	7.229	/_	-120.7	0.98902	12.660	02/mar	12.521	/_	-90.7	0,98089	0,98876	0,98902
-	3	7.229	/_	119.3	0.98902	12.660	03/jan	12.521	/_	149.3	0,98089	0,98876	0,98902
6BT .	1	0.1247	/_	-31.2	0.98174	0.220	01/fev	0.21598	/_	-1.2	0,97355	0,98148	0,98174
-	2	0.1247	/_	-151.2	0.98174	0.220	02/mar	0.21598	/_	-121.2	0,97355	0,98148	0,98174
-	3	0.1247	/_	88.8	0.98174	0.220	03/jan	0.21598	/_	118.8	0,97355	0,98148	0,98174
7 ...	1	72.197	/_	-0.7	0.98775	12.660	01/fev	12.505	/_	29.3	0,97873	0,98747	0,98775
-	2	72.197	/_	-120.7	0.98775	12.660	02/mar	12.505	/_	-90.7	0,97873	0,98747	0,98775
